sample_id,grav_soil_water_content,site,treatment,position,replicate,date_coll,regions,year
353,0.251655629,SW3,CV,B,3,20201016,SW,2020
354,0.21452514,SW3,SH,B,1,20201016,SW,2020
355,0.188764045,SW3,SH,B,2,20201016,SW,2020
356,0.208971554,SW3,SH,B,3,20201016,SW,2020
357,0.195550351,ST2,CV,A,1,20201023,ST,2020
358,0.189031505,ST2,CV,A,2,20201023,ST,2020
359,0.185699039,ST2,CV,A,3,20201023,ST,2020
360,0.238095238,ST2,SH,A,1,20201023,ST,2020
361,0.202368138,ST2,SH,A,2,20201023,ST,2020
362,0.220930233,ST2,SH,A,3,20201023,ST,2020
363,0.250566893,ST2,UD,A,1,20201023,ST,2020
364,0.249122807,ST2,UD,A,2,20201023,ST,2020
365,0.255639098,ST2,UD,A,3,20201023,ST,2020
366,0.300486618,ST2,CV,B,1,20201023,ST,2020
367,0.295180018,ST2,CV,B,2,20201023,ST,2020
368,0.289873418,ST2,CV,B,3,20201023,ST,2020
369,0.25091352,ST2,SH,B,1,20201023,ST,2020
370,0.262626263,ST2,SH,B,2,20201023,ST,2020
371,0.262650602,ST2,SH,B,3,20201023,ST,2020
372,0.2004662,ST3,CV,A,1,20201021,ST,2020
373,0.233253589,ST3,CV,A,2,20201021,ST,2020
374,0.281400966,ST3,CV,A,3,20201021,ST,2020
375,0.225967541,ST3,SH,A,1,20201021,ST,2020
376,0.218137255,ST3,SH,A,2,20201021,ST,2020
377,0.213510253,ST3,SH,A,3,20201021,ST,2020
378,0.362162162,ST3,UD,A,1,20201021,ST,2020
379,0.381953028,ST3,UD,A,2,20201021,ST,2020
380,0.349734043,ST3,UD,A,3,20201021,ST,2020
381,0.290993072,ST3,CV,B,1,20201021,ST,2020
382,0.326822917,ST3,CV,B,2,20201021,ST,2020
383,0.313967862,ST3,CV,B,3,20201021,ST,2020
384,0.216459977,ST3,SH,B,1,20201021,ST,2020
385,0.266996292,ST3,SH,B,2,20201021,ST,2020
386,0.271396396,ST3,SH,B,3,20201021,ST,2020
387,0.241695304,ST1,CV,A,1,20201023,ST,2020
388,0.202090592,ST1,CV,A,2,20201023,ST,2020
389,0.176914779,ST1,CV,A,3,20201023,ST,2020
390,0.207897793,ST1,SH,A,1,20201023,ST,2020
391,0.20669746,ST1,SH,A,2,20201023,ST,2020
392,0.194865811,ST1,SH,A,3,20201023,ST,2020
393,0.252595156,ST1,UD,A,1,20201023,ST,2020
394,0.275534442,ST1,UD,A,2,20201023,ST,2020
395,0.247002398,ST1,UD,A,3,20201023,ST,2020
396,0.238262911,ST1,CV,B,1,20201023,ST,2020
397,0.267427123,ST1,CV,B,2,20201023,ST,2020
398,0.248798077,ST1,CV,B,3,20201023,ST,2020
399,0.191721133,ST1,SH,B,1,20201023,ST,2020
400,0.169642857,ST1,SH,B,2,20201023,ST,2020
401,0.168648649,ST1,SH,B,3,20201023,ST,2020
402,0.202804746,ST4,CV,A,1,20201021,ST,2020
403,0.196172249,ST4,CV,A,2,20201021,ST,2020
404,0.214132762,ST4,CV,A,3,20201021,ST,2020
405,0.248587571,ST4,SH,A,1,20201021,ST,2020
406,0.25862069,ST4,SH,A,2,20201021,ST,2020
407,0.185227273,ST4,SH,A,3,20201021,ST,2020
408,0.185860889,ST4,UD,A,1,20201021,ST,2020
409,0.233910891,ST4,UD,A,2,20201021,ST,2020
410,0.235576923,ST4,UD,A,3,20201021,ST,2020
411,0.192771084,ST4,CV,B,1,20201021,ST,2020
412,0.175,ST4,CV,B,2,20201021,ST,2020
413,0.193693694,ST4,CV,B,3,20201021,ST,2020
414,0.197104677,ST4,SH,B,1,20201021,ST,2020
415,0.164882227,ST4,SH,B,2,20201021,ST,2020
416,0.180815877,ST4,SH,B,3,20201021,ST,2020
417,0.22122905,MW1,SH,A,1,20201026,MW,2020
418,0.210772834,MW1,SH,A,2,20201026,MW,2020
419,0.213507625,MW1,SH,A,3,20201026,MW,2020
420,0.239256678,MW1,CV,A,1,20201026,MW,2020
421,0.234813084,MW1,CV,A,2,20201026,MW,2020
422,0.268506901,MW1,CV,A,3,20201026,MW,2020
423,0.280566281,MW1,UD,A,1,20201026,MW,2020
424,0.250611247,MW1,UD,A,2,20201026,MW,2020
425,0.267857143,MW1,UD,A,3,20201026,MW,2020
