[Header]	
System	NPOC-TN	
S/W Version	1.00	
User	Grossman	
Date/Time	5/2/2021 11:43:54 AM	

[System]	
Instrument Options	TOC/ASI/TN/	

[Data]	
Type	Sample Name	Sample ID	Cal. Curve	Date / Time	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Vial	Excluded	
Unknown	CIG	5	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 10:10:40 PM	2	TN	2.527	2.531	0.2756	0.2760	NPOC:62.16mg/L TN:0.2760mg/L	5	0	
Unknown	CIG	6	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:19:28 PM	1	NPOC	4.681	4.146	2.088	1.849	NPOC:1.849mg/L TN:0.3474mg/L	6	1	
Unknown	CIG	6	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:21:56 PM	2	NPOC	4.193	4.146	1.871	1.849	NPOC:1.849mg/L TN:0.3474mg/L	6	0	
Unknown	CIG	6	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:24:01 PM	3	NPOC	4.098	4.146	1.828	1.849	NPOC:1.849mg/L TN:0.3474mg/L	6	0	
Unknown	CIG	6	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 10:19:28 PM	1	TN	3.213	3.186	0.3504	0.3474	NPOC:1.849mg/L TN:0.3474mg/L	6	0	
Unknown	CIG	6	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 10:21:56 PM	2	TN	3.158	3.186	0.3444	0.3474	NPOC:1.849mg/L TN:0.3474mg/L	6	0	
Unknown	CIG	7	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:32:43 PM	1	NPOC	8.828	8.768	3.938	3.912	NPOC:3.912mg/L TN:0.2412mg/L	7	0	
Unknown	CIG	7	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:34:55 PM	2	NPOC	8.474	8.768	3.780	3.912	NPOC:3.912mg/L TN:0.2412mg/L	7	1	
Unknown	CIG	7	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:37:10 PM	3	NPOC	8.709	8.768	3.885	3.912	NPOC:3.912mg/L TN:0.2412mg/L	7	0	
Unknown	CIG	7	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 10:32:43 PM	1	TN	2.219	2.212	0.2420	0.2412	NPOC:3.912mg/L TN:0.2412mg/L	7	0	
